Date,Volume,RSI,MACD,MACD_Signal,BB_High,BB_Low
2000-01-03,53228400,100.0,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-04,54119000,0.0,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-05,64059600,24.516289120556706,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-06,54976600,13.268939095880782,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-07,62013600,26.88874630422019,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-10,44963600,33.267090160399505,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-11,46743600,24.966659111731843,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-12,66532400,18.730306019405916,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-13,83144000,29.39317352191432,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-14,73416400,46.245455841135815,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-18,81483600,54.34441337688409,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-19,97568200,37.728555163345035,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-20,56349800,36.291011296684516,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-21,68416200,33.22363872170203,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-24,63597600,30.172083071487677,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-25,59823200,34.23759265457397,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-26,49365000,30.087366337183994,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-27,63654800,29.38981835063899,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-28,58225400,28.814286695269175,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-01-31,73194200,28.36560236713514,-0.5553796602432044,-0.6913844344684659,36.40048588587108,29.261967002617695
2000-02-01,70196600,41.588764594041955,-0.5553796602432044,-0.6913844344684659,35.97151444361746,29.273328848618867
2000-02-02,49915600,38.38572220965175,-0.5553796602432044,-0.6913844344684659,35.75184741350144,29.130939528026886
2000-02-03,49186000,44.48034408200735,-0.5553796602432044,-0.6913844344684659,35.40952636011659,29.16101025334777
2000-02-04,55365400,50.03903805615792,-0.5553796602432044,-0.6913844344684659,35.293509044559514,29.171668300716366
2000-02-07,40005800,50.1533277219033,-0.5553796602432044,-0.6913844344684659,35.09955608393713,29.21811569188074
2000-02-08,56229000,55.912818603774575,-0.5553796602432044,-0.6913844344684659,34.97058486003551,29.27620755176868
2000-02-09,55090000,45.71629406893598,-0.5344392196901495,-0.6913844344684659,34.81579705565152,29.266250025342124
2000-02-10,54527800,49.08455795271286,-0.46304130113548325,-0.6913844344684659,34.82040176710528,29.267392155319026
2000-02-11,115559000,40.81685251916274,-0.5500582693347553,-0.6913844344684659,34.72491603224871,29.12150501877668
2000-02-14,81028600,40.43880815467532,-0.6196049447410168,-0.6913844344684659,34.34760715902473,29.111853671663745
2000-02-15,71027600,39.112196889499934,-0.6930100789021871,-0.6913844344684659,33.58012273454093,29.365945838457115
2000-02-16,65202600,37.92981529386531,-0.7655456999489232,-0.6913844344684659,33.447911254168154,29.210810860394837
2000-02-17,80343400,41.960771256054215,-0.7647513849818388,-0.6913844344684659,33.307015311531366,29.15631037969178
2000-02-18,79063000,36.187260155612805,-0.8669676241447277,-0.6913844344684659,33.34558057444309,28.8514716182449
2000-02-22,66296200,34.77545467950158,-0.967735214608286,-0.7466545904964299,33.45355480516025,28.515537373184475
2000-02-23,75847200,35.72067158596626,-1.0249588836885408,-0.8023154491348521,33.47069527849295,28.235954501780487
2000-02-24,69733200,36.84715675283484,-1.0458856839311856,-0.8510294960941188,33.51304957170747,28.0518447230313
2000-02-25,65301400,32.61550523282203,-1.134411961738028,-0.9077059892229007,33.654004641312284,27.682927922469457
2000-02-28,76131800,33.21616829849256,-1.1847300879208298,-0.9631108089624866,33.75446062676506,27.37749699957772
2000-02-29,58437400,30.64222589701994,-1.264136348578031,-1.0233159168855954,33.90658531160066,26.964845085433037
2000-03-01,106889800,34.24813848760266,-1.276795128368171,-1.0740117591821106,33.8573504889015,26.642445234059917
2000-03-02,106932600,40.21501217611021,-1.2095083641095457,-1.1011110801675976,33.797735964283376,26.474098981395333
2000-03-03,101435200,45.889923799907315,-1.0757703015786042,-1.096042924449799,33.615189629023135,26.42676727252716
2000-03-06,93609400,38.10028631920417,-1.0932064421076717,-1.0954756279813735,33.28277298908124,26.270694189263487
2000-03-07,135061000,42.4072801476594,-1.0393957829658582,-1.0842596589782705,32.84797900368369,26.284046905740137
2000-03-08,94290000,47.13848270893193,-0.9196818408560858,-1.0513440953538336,32.025418474273245,26.666009328766307
2000-03-09,88198800,53.87617953760427,-0.7069089551604755,-0.982457067315162,31.779489745377777,26.789336930037262
2000-03-10,85589000,55.260074644917374,-0.5077006604174414,-0.8875057859356179,31.37735546048493,27.03821880404144
2000-03-13,61831800,50.37672035351277,-0.41919063060666417,-0.7938427548698272,31.284264710264242,27.071926734132727
2000-03-14,73489200,46.16625841576836,-0.41536191482063245,-0.7181465868599883,31.121248689099733,27.097018179491574
